"Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","lostreason","Longitude","Address","Geocode Status","Latitude"
"Web Player SSAI Enhancement","9cbd2ade-fbe3-de61-2285-68f201fafde3","SE0,00","'-99","11/20/2020","Closed Won","0","","","TV4 Media","","SE0,00","","","adminalex","1","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"WebRTC / BMP integration","efedec28-1da8-4053-e9b1-68f2018b3b14","SE200000,00","'-99","05/25/2023","Closed Lost","50","","","Bitmovin","","SE200000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"WebRTC and DRM prototype","76b3fe22-feec-fadc-a517-68f2018c8288","SE300000,00","'-99","05/26/2022","Closed Won","30","","","EZDRM","","SE300000,00","","","jonasbirme","5548ec37-5d60-9e14-3d62-68ff5722bdc6","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"WebRTC architect","ea416e33-b105-e58a-77ef-68f201ad888e","SE400000,00","'-99","05/19/2022","Closed Won","75","","","XMReality","","SE400000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"WebRTC developer","d7552dd0-db16-ebbd-40bc-68f20164dddd","SE0,00","'-99","04/01/2021","Closed Lost","0","","","Bambuser","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"WebRTC development","42dd1d56-83ef-87f6-f66b-68f2015fd1d7","SE100000,00","'-99","10/05/2023","Closed Won","75","","","EZDRM","","SE100000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"WebRTC Development","855f6b18-e7ae-ab26-a07b-68f201b10492","SE250000,00","'-99","09/14/2023","Closed Lost","50","","","Lumix.ai","","SE250000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"WebRTC development","a23aa318-eed2-ce2f-ebfc-68f2013d69eb","SE250000,00","'-99","09/27/2024","Closed Won","75","","","EZDRM","","SE250000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"WebRTC Prestudy","9962b2ce-3350-2033-ea77-68f201835d92","SE95000,00","'-99","02/09/2023","Closed Lost","50","","","Roll Unites AB","","SE95000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"WebRTC support","3f166ca4-8af0-d901-319b-68f201f8f500","SE50000,00","'-99","10/27/2022","Closed Won","50","","","XMReality","","SE50000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
